name,mass,radius
TOI-2202 b,310.83618,11.321
TOI-2207 b,203.41018,11.153
TOI-2236 b,502.16888,14.37
TOI-2337 b,508.52545,10.088
TOI-2338 b,1900.61387,11.209
TOI-2364 b,71.51139,8.608
TOI-2421 b,105.83686,10.368
TOI-244 b,2.68,1.52
TOI-2497 b,1531.93292,11.142
TOI-2498 b,34.62,6.06
TOI-2525 b,26.69759,8.676
TOI-2525 c,208.81326,10.133
TOI-2567 b,63.88351,10.929
TOI-257 b,43.86032,7.163
TOI-2570 b,260.61929,13.641
TOI-2583 A b,79.4571,14.46
TOI-2587 A b,69.28659,12.072
TOI-2589 b,1112.39942,12.106
TOI-269 b,8.8,2.77
TOI-270 b,1.58,1.206
TOI-270 c,6.15,2.355
TOI-270 d,4.78,2.133
TOI-2803 A b,309.8827,18.114
TOI-2842 b,117.59651,12.845
TOI-2977 b,533.95172,13.159
TOI-3023 b,197.05361,16.432
TOI-3235 b,211.35589,11.4
TOI-3331 A b,721.47048,12.98
TOI-3362 b,1598.35906,12.801
TOI-3364 b,530.77344,12.229
TOI-3629 b,82.63539,8.295
TOI-3688 A b,311.47184,13.081
TOI-3693 b,324.18498,12.599
TOI-3714 b,222.47988,11.321
TOI-3757 b,85.3,12.0
TOI-3819 b,352.78953,13.137
TOI-3884 b,16.5,6.0
TOI-3912 b,129.03833,14.28
TOI-3976 A b,55.61997,12.274
TOI-4087 b,232.01474,13.047
TOI-4127 b,731.00534,12.285
TOI-4137 b,457.67291,13.574
TOI-421 b,7.17,2.68
TOI-421 c,16.42,5.09
TOI-431 b,3.07,1.28
TOI-431 d,9.9,3.29
TOI-4329 b,143.02278,16.813
TOI-4406 b,95.34852,11.209
TOI-4463 A b,252.35576,13.26
TOI-4582 b,168.44906,10.536
TOI-4603 b,4096.80817,11.68
TOI-4791 b,734.18362,12.442
TOI-481 b,486.2799,11.097
TOI-500 b,1.42,1.166
TOI-5153 b,1036.12061,11.882
TOI-519 b,147.15455,11.545
TOI-5205 b,343.0,11.6
TOI-530 b,127.13136,9.303
TOI-532 b,61.5,5.82
TOI-5542 b,419.5335,11.31
TOI-558 b,1147.36055,12.173
TOI-559 b,1910.14873,12.229
TOI-561 b,2.0,1.425
TOI-561 c,5.39,2.91
TOI-561 d,13.2,2.82
TOI-561 e,12.6,2.55
TOI-564 b,464.98529,11.433
TOI-5678 b,20.0,4.91
TOI-628 b,2011.8639,11.882
TOI-640 b,279.6904,19.851
TOI-674 b,23.6,5.25
TOI-677 b,392.83788,13.115
TOI-733 b,5.72,1.992
TOI-763 b,9.79,2.28
TOI-763 c,9.32,2.63
TOI-776 b,4.0,1.85
TOI-778 b,878.0,15.4
TOI-824 b,18.467,2.926
TOI-836 b,4.53,1.704
TOI-836 c,9.6,2.587
TOI-849 b,39.09,3.444
TOI-892 b,301.9385,11.994
TOI-905 b,211.99261,13.126
TOI-954 b,55.30242,9.55
TOI-969 b,9.1,2.765
TRAPPIST-1 b,1.374,1.116
TRAPPIST-1 c,1.308,1.097
TRAPPIST-1 d,0.388,0.788
TRAPPIST-1 e,0.692,0.92
TRAPPIST-1 f,1.039,1.045
TRAPPIST-1 g,1.321,1.129
TRAPPIST-1 h,0.326,0.755
TrES-1 b,266.9772,12.666
TrES-2 b,473.5667,15.244
TrES-3 b,607.03,14.975
TrES-4 b,247.9074,18.046
TrES-5 b,568.9157,13.384
WASP-1 b,271.415,16.623
WASP-10 b,1001.12,12.106
WASP-101 b,162.0933,16.029
WASP-103 b,473.547,17.127
WASP-104 b,404.263,12.745
WASP-105 b,572.094,10.761
WASP-11 b,251.0857,12.442
WASP-110 b,162.09249,13.877
WASP-113 b,150.96925,15.793
WASP-114 b,562.24127,15.009
WASP-117 b,95.349,11.882
WASP-118 b,163.36462,16.141
WASP-119 b,390.9309,15.693
WASP-12 b,465.62095,21.712
WASP-120 b,1541.4755,16.511
WASP-121 b,367.72747,19.649
WASP-123 b,285.72917,14.773
WASP-124 b,190.698,13.899
WASP-127 b,52.3466,14.695
WASP-129 b,317.83,10.424
WASP-13 b,114.4188,13.675
WASP-130 b,390.9309,9.976
WASP-131 b,85.8141,13.675
WASP-133 b,368.6828,13.563
WASP-135 b,603.877,14.572
WASP-136 b,479.9233,15.468
WASP-138 b,387.7526,12.218
WASP-139 b,37.18611,8.967
WASP-14 b,2809.6172,15.468
WASP-140 b,775.5052,16.141
WASP-141 b,854.9627,13.563
WASP-142 b,266.9772,17.15
WASP-144 b,139.8452,9.528
WASP-147 b,87.40325,12.498
WASP-148 b,91.21675,8.474
WASP-150 b,2688.8418,11.994
WASP-153 b,123.9537,17.374
WASP-156 b,40.68224,5.717
WASP-158 b,886.7457,11.994
WASP-159 b,174.8065,15.468
WASP-16 b,394.1092,13.675
WASP-160 B b,88.35674,12.218
WASP-161 b,791.3967,12.812
WASP-162 b,1652.716,11.209
WASP-163 b,594.3421,13.473
WASP-164 b,676.9779,12.644
WASP-165 b,209.13214,14.123
WASP-166 b,32.10083,7.062
WASP-168 b,133.4886,16.814
WASP-169 b,178.30263,14.617
WASP-17 b,247.9074,20.961
WASP-170 b,508.528,12.285
WASP-171 b,344.52772,10.985
WASP-172 b,149.3801,17.598
WASP-173 A b,1172.7927,13.451
WASP-174 b,104.88337,16.107
WASP-175 b,314.6517,13.54
WASP-176 b,271.74465,16.87
WASP-177 b,161.45764,17.71
WASP-178 b,527.5978,20.288
WASP-18 b,3241.84975,13.899
WASP-180 A b,286.047,13.899
WASP-181 b,95.03117,13.271
WASP-182 b,47.03884,9.528
WASP-183 b,159.55066,16.477
WASP-184 b,181.1631,14.908
WASP-185 b,311.4734,14.011
WASP-186 b,1341.2426,12.442
WASP-187 b,254.264,18.383
WASP-189 b,632.47853,18.147
WASP-19 b,366.77398,15.861
WASP-190 b,317.83,12.89
WASP-192 b,731.009,13.787
WASP-2 b,295.89973,12.117
WASP-20 b,98.841,16.388
WASP-21 b,95.345,11.99
WASP-22 b,212.9461,13.787
WASP-23 b,280.95,10.783
WASP-24 b,394.1092,15.468
WASP-25 b,139.8452,11.994
WASP-26 b,270.1555,13.563
WASP-29 b,73.1009,8.631
WASP-3 b,772.3269,15.917
WASP-31 b,151.916,17.363
WASP-33 b,665.21819,17.856
WASP-35 b,225.6593,14.572
WASP-36 b,750.39663,14.874
WASP-37 b,572.07,13.002
WASP-38 b,1093.3352,13.787
WASP-39 b,88.989,14.235
WASP-4 b,376.94638,14.807
WASP-41 b,270.1555,12.33
WASP-42 b,167.49641,12.576
WASP-43 b,565.714,10.424
WASP-44 b,276.5121,12.33
WASP-45 b,306.38812,10.604
WASP-46 b,607.0553,13.159
WASP-47 b,363.6,12.64
WASP-47 d,14.2,3.567
WASP-47 e,6.77,1.808
WASP-48 b,254.264,16.814
WASP-49 b,117.5971,12.442
WASP-5 b,502.15,12.184
WASP-50 b,466.8287,13.07
WASP-52 b,146.2,14.24
WASP-53 b,677.61356,12.038
WASP-54 b,187.5197,17.71
WASP-55 b,193.8763,14.908
WASP-56 b,143.0235,10.536
WASP-57 b,204.68252,11.769
WASP-58 b,308.2951,16.029
WASP-59 b,274.276,8.687
WASP-6 b,117.5971,11.545
WASP-62 b,165.2716,14.796
WASP-63 b,117.5971,15.805
WASP-64 b,403.945,14.247
WASP-65 b,492.62,12.464
WASP-67 b,136.6669,12.89
WASP-68 b,343.2564,14.796
WASP-69 b,92.1707,12.442
WASP-7 b,305.1168,14.908
WASP-70 A b,187.512,13.047
WASP-71 b,441.7837,13.227
WASP-74 b,228.8376,15.244
WASP-75 b,340.06,14.235
WASP-76 b,292.4036,20.512
WASP-77 A b,529.81995,13.787
WASP-79 b,270.1555,18.719
WASP-8 b,807.2882,12.666
WASP-80 b,170.99254,11.198
WASP-81 b,231.69807,16.018
WASP-82 b,371.8611,18.159
WASP-83 b,95.349,11.657
WASP-84 b,220.565,10.559
WASP-87 b,692.8694,15.524
WASP-89 b,1875.197,11.657
WASP-90 b,200.2329,18.271
WASP-91 b,425.8922,11.545
WASP-92 b,255.85315,16.376
WASP-93 b,467.2101,17.901
WASP-94 A b,158.915,17.71
WASP-95 b,457.6752,13.787
WASP-96 b,152.55,13.45
WASP-97 b,432.2488,12.778
WASP-98 b,293.03926,12.823
